Date,Value,Minwage,CPI,Leg_Immi,CurrenACT,NASDAQ,t
1/1/1955,4.9,0.75,26.77,237790,,,1
2/1/1955,4.7,0.75,26.82,244776.25,,,2
3/1/1955,4.6,0.75,26.79,251762.5,,,3
4/1/1955,4.7,0.75,26.79,258748.75,,,4
5/1/1955,4.3,0.75,26.77,265735,,,5
6/1/1955,4.2,0.75,26.71,272721.25,,,6
7/1/1955,4,0.75,26.76,279707.5,,,7
8/1/1955,4.2,0.75,26.72,286693.75,,,8
9/1/1955,4.1,0.75,26.85,293680,,,9
10/1/1955,4.3,0.75,26.82,300666.25,,,10
11/1/1955,4.2,0.75,26.88,307652.5,,,11
12/1/1955,4.2,0.75,26.87,314638.75,,,12
1/1/1956,4,0.75,26.83,321625,,,13
2/1/1956,3.9,0.75,26.86,322061.8333,,,14
3/1/1956,4.2,1,26.89,322498.6667,,,15
4/1/1956,4,1,26.93,322935.5,,,16
5/1/1956,4.3,1,27.03,323372.3333,,,17
6/1/1956,4.3,1,27.15,323809.1667,,,18
7/1/1956,4.4,1,27.29,324246,,,19
8/1/1956,4.1,1,27.31,324682.8333,,,20
9/1/1956,3.9,1,27.35,325119.6667,,,21
10/1/1956,3.9,1,27.51,325556.5,,,22
11/1/1956,4.3,1,27.51,325993.3333,,,23
12/1/1956,4.2,1,27.63,326430.1667,,,24
1/1/1957,4.2,1,27.67,326867,,,25
2/1/1957,3.9,1,27.8,320733.5,,,26
3/1/1957,3.7,1,27.86,314600,,,27
4/1/1957,3.9,1,27.93,308466.5,,,28
5/1/1957,4.1,1,28,302333,,,29
6/1/1957,4.3,1,28.11,296199.5,,,30
7/1/1957,4.2,1,28.19,290066,,,31
8/1/1957,4.1,1,28.28,283932.5,,,32
9/1/1957,4.4,1,28.32,277799,,,33
10/1/1957,4.5,1,28.32,271665.5,,,34
11/1/1957,5.1,1,28.41,265532,,,35
12/1/1957,5.2,1,28.47,259398.5,,,36
1/1/1958,5.8,1,28.64,253265,,,37
2/1/1958,6.4,1,28.7,253883.4167,,,38
3/1/1958,6.7,1,28.87,254501.8333,,,39
4/1/1958,7.4,1,28.94,255120.25,,,40
5/1/1958,7.4,1,28.94,255738.6667,,,41
6/1/1958,7.3,1,28.91,256357.0833,,,42
7/1/1958,7.5,1,28.89,256975.5,,,43
8/1/1958,7.4,1,28.94,257593.9167,,,44
9/1/1958,7.1,1,28.91,258212.3333,,,45
10/1/1958,6.7,1,28.91,258830.75,,,46
11/1/1958,6.2,1,28.95,259449.1667,,,47
12/1/1958,6.2,1,28.97,260067.5833,,,48
1/1/1959,6,1,29.01,260686,,,49
2/1/1959,5.9,1,29,261078.6667,,,50
3/1/1959,5.6,1,28.97,261471.3333,,,51
4/1/1959,5.2,1,28.98,261864,,,52
5/1/1959,5.1,1,29.04,262256.6667,,,53
6/1/1959,5,1,29.11,262649.3333,,,54
7/1/1959,5.1,1,29.15,263042,,,55
8/1/1959,5.2,1,29.18,263434.6667,,,56
9/1/1959,5.5,1,29.25,263827.3333,,,57
10/1/1959,5.7,1,29.35,264220,,,58
11/1/1959,5.8,1,29.35,264612.6667,,,59
12/1/1959,5.3,1,29.41,265005.3333,,,60
1/1/1960,5.2,1,29.37,265398,0.26,,61
2/1/1960,4.8,1,29.41,265893.5,0.303333333,,62
3/1/1960,5.4,1,29.41,266389,0.346666667,,63
4/1/1960,5.2,1,29.54,266884.5,0.39,,64
5/1/1960,5.1,1,29.57,267380,0.463333333,,65
6/1/1960,5.4,1,29.61,267875.5,0.536666667,,66
7/1/1960,5.5,1,29.55,268371,0.61,,67
8/1/1960,5.6,1,29.61,268866.5,0.68,,68
9/1/1960,5.5,1,29.61,269362,0.75,,69
10/1/1960,6.1,1,29.75,269857.5,0.82,,70
11/1/1960,6.1,1,29.78,270353,0.85,,71
12/1/1960,6.6,1,29.81,270848.5,0.88,,72
1/1/1961,6.6,1,29.84,271344,0.91,,73
2/1/1961,6.9,1,29.84,272378.9167,0.823333333,,74
3/1/1961,6.9,1,29.84,273413.8333,0.736666667,,75
4/1/1961,7,1,29.81,274448.75,0.65,,76
5/1/1961,7.1,1,29.84,275483.6667,0.63,,77
6/1/1961,6.9,1,29.84,276518.5833,0.61,,78
7/1/1961,7,1,29.92,277553.5,0.59,,79
8/1/1961,6.6,1,29.94,278588.4167,0.583333333,,80
9/1/1961,6.7,1.15,29.98,279623.3333,0.576666667,,81
10/1/1961,6.5,1.15,29.98,280658.25,0.57,,82
11/1/1961,6.1,1.15,29.98,281693.1667,0.523333333,,83
12/1/1961,6,1.15,30.01,282728.0833,0.476666667,,84
1/1/1962,5.8,1.15,30.04,283763,0.43,,85
2/1/1962,5.5,1.15,30.11,285637.75,0.516666667,,86
3/1/1962,5.6,1.15,30.17,287512.5,0.603333333,,87
4/1/1962,5.6,1.15,30.21,289387.25,0.69,,88
5/1/1962,5.5,1.15,30.24,291262,0.67,,89
6/1/1962,5.5,1.15,30.21,293136.75,0.65,,90
7/1/1962,5.4,1.15,30.22,295011.5,0.63,,91
8/1/1962,5.7,1.15,30.28,296886.25,0.58,,92
9/1/1962,5.6,1.15,30.42,298761,0.53,,93
10/1/1962,5.4,1.15,30.38,300635.75,0.48,,94
11/1/1962,5.7,1.15,30.38,302510.5,0.5,,95
12/1/1962,5.5,1.15,30.38,304385.25,0.52,,96
1/1/1963,5.7,1.15,30.44,306260,0.54,,97
2/1/1963,5.9,1.15,30.48,305092.3333,0.613333333,,98
3/1/1963,5.7,1.15,30.51,303924.6667,0.686666667,,99
4/1/1963,5.7,1.15,30.48,302757,0.76,,100
5/1/1963,5.9,1.15,30.51,301589.3333,0.716666667,,101
6/1/1963,5.6,1.15,30.61,300421.6667,0.673333333,,102
7/1/1963,5.6,1.15,30.69,299254,0.63,,103
8/1/1963,5.4,1.15,30.75,298086.3333,0.693333333,,104
9/1/1963,5.5,1.25,30.72,296918.6667,0.756666667,,105
10/1/1963,5.5,1.25,30.75,295751,0.82,,106
11/1/1963,5.7,1.25,30.78,294583.3333,0.926666667,,107
12/1/1963,5.5,1.25,30.88,293415.6667,1.033333333,,108
1/1/1964,5.6,1.25,30.94,292248,1.14,,109
2/1/1964,5.4,1.25,30.91,292618.75,1.06,,110
3/1/1964,5.4,1.25,30.94,292989.5,0.98,,111
4/1/1964,5.3,1.25,30.95,293360.25,0.9,,112
5/1/1964,5.1,1.25,30.98,293731,0.933333333,,113
6/1/1964,5.2,1.25,31.01,294101.75,0.966666667,,114
7/1/1964,4.9,1.25,31.02,294472.5,1,,115
8/1/1964,5,1.25,31.05,294843.25,0.983333333,,116
9/1/1964,5.1,1.25,31.08,295214,0.966666667,,117
10/1/1964,5.1,1.25,31.12,295584.75,0.95,,118
11/1/1964,4.8,1.25,31.21,295955.5,0.866666667,,119
12/1/1964,5,1.25,31.25,296326.25,0.783333333,,120
1/1/1965,4.9,1.25,31.28,296697,0.7,,121
2/1/1965,5.1,1.25,31.28,298892.25,0.753333333,,122
3/1/1965,4.7,1.25,31.31,301087.5,0.806666667,,123
4/1/1965,4.8,1.25,31.38,303282.75,0.86,,124
5/1/1965,4.6,1.25,31.48,305478,0.806666667,,125
6/1/1965,4.6,1.25,31.61,307673.25,0.753333333,,126
7/1/1965,4.4,1.25,31.58,309868.5,0.7,,127
8/1/1965,4.4,1.25,31.55,312063.75,0.69,,128
9/1/1965,4.3,1.25,31.62,314259,0.68,,129
10/1/1965,4.2,1.25,31.65,316454.25,0.67,,130
11/1/1965,4.1,1.25,31.75,318649.5,0.61,,131
12/1/1965,4,1.25,31.85,320844.75,0.55,,132
1/1/1966,4,1.25,31.88,323040,0.49,,133
2/1/1966,3.8,1.25,32.08,326284.3333,0.456666667,,134
3/1/1966,3.8,1.25,32.18,329528.6667,0.423333333,,135
4/1/1966,3.8,1.25,32.28,332773,0.39,,136
5/1/1966,3.9,1.25,32.35,336017.3333,0.34,,137
6/1/1966,3.8,1.25,32.38,339261.6667,0.29,,138
7/1/1966,3.8,1.25,32.45,342506,0.24,,139
8/1/1966,3.8,1.25,32.65,345750.3333,0.283333333,,140
9/1/1966,3.7,1.25,32.75,348994.6667,0.326666667,,141
10/1/1966,3.7,1.25,32.85,352239,0.37,,142
11/1/1966,3.6,1.25,32.88,355483.3333,0.383333333,,143
12/1/1966,3.8,1.25,32.92,358727.6667,0.396666667,,144
1/1/1967,3.9,1.25,32.9,361972,0.41,,145
2/1/1967,3.8,1.4,33,369678.3333,0.376666667,,146
3/1/1967,3.8,1.4,33,377384.6667,0.343333333,,147
4/1/1967,3.8,1.4,33.1,385091,0.31,,148
5/1/1967,3.8,1.4,33.1,392797.3333,0.293333333,,149
6/1/1967,3.9,1.4,33.3,400503.6667,0.276666667,,150
7/1/1967,3.8,1.4,33.4,408210,0.26,,151
8/1/1967,3.8,1.4,33.5,415916.3333,0.243333333,,152
9/1/1967,3.8,1.4,33.6,423622.6667,0.226666667,,153
10/1/1967,4,1.4,33.7,431329,0.21,,154
11/1/1967,3.9,1.4,33.9,439035.3333,0.17,,155
12/1/1967,3.8,1.4,34,446741.6667,0.13,,156
1/1/1968,3.7,1.4,34.1,454448,0.09,,157
2/1/1968,3.8,1.6,34.2,446458.9167,0.106666667,,158
3/1/1968,3.7,1.6,34.3,438469.8333,0.123333333,,159
4/1/1968,3.5,1.6,34.4,430480.75,0.14,,160
