DATE,Unem,CPI,CurrentACT,Minwage,Immigration,NASDAQ,RGDP,YthUnem,LaborFrc,Hsingstrt,Fedfund
1970-Q3,5.166667,39.2,0.19,1.6,373326,,4757.213,11.5,82911.66,1534,6.29
1970-Q4,5.833333,39.8,0.08,1.6,373326,,4708.281,12.63333,83498,1893,4.9
1971-Q1,5.933333,40,0.24,1.6,370478,105.97,4834.349,12.63333,83676,1910,3.71
1971-Q2,5.9,40.5,-0.14,1.6,370478,107.8,4861.938,12.9,83929,2026,4.91
1971-Q3,6.033333,40.8,-0.18,1.6,370478,109.03,4899.95,12.7,84581.34,2041,5.55
1971-Q4,5.933333,41.1,-0.39,1.6,370478,114.12,4914.261,12.7,85318.34,2295,4.14
1972-Q1,5.766667,41.4,-0.55,1.6,384685,128.14,5002.436,12.76667,86208.34,2334,3.83
1972-Q2,5.7,41.7,-0.53,1.6,384685,130.08,5118.278,12,86809.66,2254,4.46
1972-Q3,5.566667,42.1,-0.4,1.6,384685,129.61,5165.448,12.03333,87350.66,2481,4.87
1972-Q4,5.366667,42.5,-0.34,1.6,384685,133.73,5251.226,11.6,87675.34,2366,5.33
1973-Q1,4.933333,43.4,0.04,1.6,398515,117.46,5380.502,10.5,88232.34,2365,7.09
1973-Q2,4.933333,44.2,0.25,1.6,398515,100.98,5441.504,10.7,89181,2067,8.49
1973-Q3,4.8,45.2,0.76,1.6,398515,111.2,5411.935,10.53333,89650.34,1874,10.78
1973-Q4,4.766667,46.3,0.91,1.6,398515,92.19,5462.397,10.3,90579,1526,9.95
1974-Q1,5.133333,47.8,0.43,1.6,393919,92.27,5417.024,10.83333,91379,1555,9.35
1974-Q2,5.2,49,0.03,2,393919,75.96,5431.265,11.2,91583.66,1513,11.93
1974-Q3,5.633333,50.6,-0.08,2,393919,55.67,5378.679,12.13333,92253,1150,11.34
1974-Q4,6.6,51.9,0.13,2,393919,59.82,5357.166,13.36667,92688,975,8.53
1975-Q1,8.266666,52.8,1.04,2.1,385378,75.66,5292.444,15.63333,93023,993,5.54
1975-Q2,8.866667,53.5,1.21,2.1,385378,87.02,5333.22,16.56667,93619.34,1087,5.55
1975-Q3,8.466666,54.6,0.95,2.1,385378,74.33,5421.357,16.33333,94128.34,1264,6.24
1975-Q4,8.3,55.6,1.09,2.1,385378,77.62,5494.446,15.8,94308.66,1321,5.2
1976-Q1,7.733333,56,0.56,2.3,499093,90.62,5618.52,14.9,95049,1421,4.84
1976-Q2,7.566667,56.7,0.36,2.3,499093,90.32,5660.972,14.56667,95826,1495,5.48
1976-Q3,7.733333,57.6,-0.02,2.3,499093,91.26,5689.756,14.53333,96625.66,1720,5.25
1976-Q4,7.766667,58.4,0.03,2.3,499093,97.88,5732.462,14.86667,97102,1804,4.65
1977-Q1,7.5,59.6,-0.54,2.3,458755,94.13,5799.16,14.33333,97702.66,2063,4.69
1977-Q2,7.133333,60.5,-0.59,2.3,458755,99.73,5912.977,13.8,98696,1893,5.39
1977-Q3,6.9,61.3,-0.52,2.3,458755,100.85,6017.586,13.5,99244,1949,6.14
1977-Q4,6.666667,62.3,-1.08,2.3,458755,105.05,6018.218,12.76667,100294,2142,6.56
1978-Q1,6.333333,63.4,-1.27,2.65,589810,106.2,6039.158,12.96667,100934,2032,6.79
1978-Q2,6,65,-0.65,2.65,589810,120.3,6273.963,12.03333,101947,2070,7.6
1978-Q3,6.033333,66.5,-0.61,2.65,589810,132.89,6335.317,12.1,102568.3,1970,8.45
1978-Q4,5.9,67.9,-0.11,2.65,589810,117.98,6420.288,11.83333,103483.7,2044,10.03
1979-Q1,5.866667,69.9,-0.07,2.9,394244,131.76,6433.044,11.63333,104382.7,1847,10.09
1979-Q2,5.7,72.2,-0.11,2.9,394244,138.13,6440.832,11.56667,104327,1913,10.29
1979-Q3,5.866667,74.4,0.14,2.9,394244,149.98,6487.08,11.96667,105209.3,1832,11.43
1979-Q4,5.966667,76.9,-0.01,2.9,394244,151.14,6503.874,12.03333,105923.3,1498,13.78
1980-Q1,6.3,80.1,-0.49,3.1,524295,131,6524.912,12.46667,106567,1047,17.19
1980-Q2,7.333333,82.5,-0.13,3.1,524295,157.78,6392.578,14.16667,106766.7,1196,9.47
1980-Q3,7.666667,83.9,0.61,3.1,524295,187.76,6382.892,14.63333,107120.7,1471,10.87
1980-Q4,7.4,86.4,0.32,3.1,524295,202.34,6501.184,14.2,107441.7,1482,18.9
1981-Q1,7.433333,88.6,0.12,3.35,595014,210.18,6635.726,14.53333,108273.7,1306,14.7
